Area Type,Area Name,Date,Year,Month,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65+
State,California,2/1/2008,2008,February,0.184,0.093,0.053,0.04,0.041,0.039,0.048
State,California,3/1/2008,2008,March,0.187,0.096,0.054,0.041,0.042,0.038,0.05
State,California,4/1/2008,2008,April,0.187,0.097,0.055,0.043,0.043,0.037,0.05
State,California,5/1/2008,2008,May,0.187,0.101,0.057,0.044,0.045,0.036,0.05
State,California,6/1/2008,2008,June,0.191,0.105,0.059,0.044,0.046,0.038,0.048
State,California,7/1/2008,2008,July,0.206,0.108,0.061,0.045,0.047,0.038,0.047
State,California,8/1/2008,2008,August,0.219,0.11,0.062,0.046,0.048,0.038,0.049
State,California,9/1/2008,2008,September,0.221,0.116,0.063,0.049,0.049,0.039,0.05
State,California,10/1/2008,2008,October,0.229,0.118,0.066,0.051,0.05,0.041,0.052
State,California,11/1/2008,2008,November,0.235,0.121,0.068,0.053,0.051,0.042,0.053
State,California,12/1/2008,2008,December,0.243,0.123,0.071,0.056,0.053,0.044,0.055
State,California,1/1/2009,2009,January,0.252,0.126,0.076,0.061,0.055,0.046,0.056
State,California,2/1/2009,2009,February,0.259,0.129,0.081,0.065,0.058,0.048,0.061
State,California,3/1/2009,2009,March,0.262,0.134,0.085,0.069,0.061,0.053,0.064
State,California,4/1/2009,2009,April,0.268,0.139,0.09,0.072,0.063,0.056,0.066
State,California,5/1/2009,2009,May,0.278,0.143,0.095,0.075,0.064,0.06,0.07
State,California,6/1/2009,2009,June,0.286,0.146,0.098,0.078,0.066,0.064,0.074
State,California,7/1/2009,2009,July,0.291,0.151,0.102,0.081,0.069,0.069,0.076
State,California,8/1/2009,2009,August,0.296,0.154,0.106,0.086,0.073,0.073,0.076
State,California,9/1/2009,2009,September,0.306,0.155,0.11,0.088,0.077,0.077,0.082
State,California,10/1/2009,2009,October,0.317,0.157,0.112,0.092,0.081,0.081,0.085
State,California,11/1/2009,2009,November,0.324,0.165,0.115,0.094,0.084,0.084,0.088
State,California,12/1/2009,2009,December,0.328,0.169,0.117,0.096,0.086,0.085,0.091
State,California,1/1/2010,2010,January,0.332,0.173,0.118,0.097,0.089,0.087,0.091
State,California,2/1/2010,2010,February,0.33,0.178,0.118,0.098,0.09,0.089,0.09
State,California,3/1/2010,2010,March,0.336,0.182,0.118,0.1,0.091,0.09,0.09
State,California,4/1/2010,2010,April,0.343,0.185,0.117,0.101,0.093,0.091,0.09
State,California,5/1/2010,2010,May,0.342,0.186,0.118,0.102,0.094,0.092,0.088
State,California,6/1/2010,2010,June,0.345,0.189,0.119,0.103,0.095,0.093,0.086
State,California,7/1/2010,2010,July,0.348,0.19,0.119,0.106,0.096,0.091,0.085
State,California,8/1/2010,2010,August,0.35,0.192,0.118,0.105,0.097,0.091,0.085
State,California,9/1/2010,2010,September,0.354,0.194,0.119,0.106,0.097,0.093,0.083
State,California,10/1/2010,2010,October,0.351,0.195,0.118,0.104,0.098,0.093,0.084
State,California,11/1/2010,2010,November,0.347,0.192,0.119,0.105,0.099,0.094,0.088
State,California,12/1/2010,2010,December,0.344,0.19,0.12,0.107,0.099,0.095,0.09
State,California,1/1/2011,2011,January,0.339,0.189,0.12,0.107,0.099,0.095,0.092
State,California,2/1/2011,2011,February,0.344,0.188,0.12,0.106,0.1,0.094,0.092
State,California,3/1/2011,2011,March,0.345,0.186,0.12,0.104,0.101,0.093,0.094
State,California,4/1/2011,2011,April,0.342,0.184,0.119,0.102,0.104,0.092,0.097
State,California,5/1/2011,2011,May,0.346,0.184,0.118,0.101,0.104,0.093,0.1
State,California,6/1/2011,2011,June,0.345,0.181,0.117,0.101,0.105,0.093,0.101
State,California,7/1/2011,2011,July,0.342,0.178,0.117,0.099,0.106,0.097,0.104
State,California,8/1/2011,2011,August,0.342,0.176,0.118,0.099,0.104,0.096,0.105
State,California,9/1/2011,2011,September,0.337,0.175,0.117,0.098,0.104,0.095,0.105
State,California,10/1/2011,2011,October,0.339,0.176,0.116,0.097,0.102,0.097,0.104
State,California,11/1/2011,2011,November,0.346,0.176,0.115,0.095,0.101,0.095,0.098
State,California,12/1/2011,2011,December,0.352,0.176,0.114,0.093,0.1,0.094,0.093
State,California,1/1/2012,2012,January,0.352,0.174,0.114,0.091,0.099,0.095,0.092
State,California,2/1/2012,2012,February,0.353,0.173,0.114,0.091,0.098,0.095,0.093
State,California,3/1/2012,2012,March,0.359,0.172,0.114,0.09,0.096,0.096,0.09
State,California,4/1/2012,2012,April,0.361,0.171,0.114,0.09,0.092,0.096,0.091
State,California,5/1/2012,2012,May,0.355,0.169,0.112,0.09,0.092,0.094,0.091
State,California,6/1/2012,2012,June,0.359,0.166,0.111,0.089,0.09,0.091,0.094
State,California,7/1/2012,2012,July,0.354,0.164,0.108,0.088,0.087,0.09,0.097
State,California,8/1/2012,2012,August,0.354,0.164,0.106,0.088,0.086,0.089,0.096
State,California,9/1/2012,2012,September,0.353,0.165,0.104,0.087,0.085,0.087,0.096
State,California,10/1/2012,2012,October,0.353,0.164,0.103,0.086,0.085,0.084,0.092
State,California,11/1/2012,2012,November,0.348,0.161,0.102,0.085,0.085,0.083,0.091
State,California,12/1/2012,2012,December,0.346,0.159,0.101,0.085,0.083,0.082,0.093
State,California,1/1/2013,2013,January,0.347,0.158,0.101,0.083,0.081,0.082,0.09
State,California,2/1/2013,2013,February,0.345,0.154,0.099,0.082,0.079,0.082,0.086
State,California,3/1/2013,2013,March,0.333,0.152,0.096,0.081,0.077,0.081,0.085
State,California,4/1/2013,2013,April,0.327,0.152,0.094,0.079,0.076,0.08,0.082
State,California,5/1/2013,2013,May,0.323,0.148,0.093,0.079,0.073,0.08,0.076
State,California,6/1/2013,2013,June,0.315,0.151,0.091,0.079,0.072,0.08,0.072
State,California,7/1/2013,2013,July,0.322,0.156,0.09,0.078,0.071,0.077,0.066
State,California,8/1/2013,2013,August,0.319,0.156,0.09,0.077,0.07,0.076,0.065
State,California,9/1/2013,2013,September,0.312,0.155,0.089,0.076,0.069,0.074,0.063
State,California,10/1/2013,2013,October,0.31,0.152,0.089,0.074,0.069,0.073,0.064
State,California,11/1/2013,2013,November,0.304,0.152,0.088,0.073,0.068,0.072,0.063
State,California,12/1/2013,2013,December,0.298,0.149,0.086,0.072,0.069,0.07,0.061
State,California,1/1/2014,2014,January,0.297,0.149,0.084,0.072,0.068,0.067,0.06
State,California,2/1/2014,2014,February,0.298,0.148,0.083,0.072,0.068,0.064,0.057
State,California,3/1/2014,2014,March,0.301,0.146,0.083,0.072,0.067,0.062,0.053
State,California,4/1/2014,2014,April,0.299,0.142,0.083,0.071,0.067,0.061,0.051
State,California,5/1/2014,2014,May,0.299,0.14,0.082,0.069,0.068,0.06,0.052
State,California,6/1/2014,2014,June,0.294,0.135,0.082,0.068,0.067,0.058,0.051
State,California,7/1/2014,2014,July,0.282,0.128,0.081,0.067,0.066,0.058,0.052
